codice_istat;denominazione_ita_altra;denominazione_ita;denominazione_altra;cap;sigla_provincia;denominazione_provincia;tipologia_provincia;codice_regione;denominazione_regione;tipologia_regione;ripartizione_geografica;flag_capoluogo;codice_belfiore;lat;lon;superficie_kmq
001001;Agliè;Agliè;;10011;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A074;45,3634669;7,7686057;13,2851
001002;Airasca;Airasca;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A109;44,9170061;7,4845045;15,7819
001003;"Ala di Stura";"Ala di Stura";;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A117;45,3149237;7,3043670;45,7648
001004;"Albiano d'Ivrea";"Albiano d'Ivrea";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A157;45,4336463;7,9495045;11,3764
001006;Almese;Almese;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A218;45,1176654;7,3951859;17,7961
001007;Alpette;Alpette;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A221;45,4099554;7,5785615;5,4660
001008;Alpignano;Alpignano;;10091;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A222;45,0944686;7,5242628;11,9989
001009;Andezeno;Andezeno;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A275;45,0358946;7,8699281;7,4703
001010;Andrate;Andrate;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A282;45,5283724;7,8738546;9,2213
001011;Angrogna;Angrogna;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A295;44,8436082;7,2242658;38,0883
001012;Arignano;Arignano;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A405;45,0437016;7,9018970;7,9883
001013;Avigliana;Avigliana;;10051;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A518;45,0793678;7,3963516;23,5584
001014;Azeglio;Azeglio;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A525;45,4248532;7,9947436;10,0616
001015;Bairo;Bairo;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A584;45,3862699;7,7569141;6,9641
001016;Balangero;Balangero;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A587;45,2700030;7,5192683;13,0001
001017;"Baldissero Canavese";"Baldissero Canavese";;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A590;45,4084019;7,7443534;4,5321
001018;"Baldissero Torinese";"Baldissero Torinese";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A591;45,0684291;7,8177989;15,8355
001019;Balme;Balme;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A599;45,3023388;7,2183609;62,9278
001020;Banchette;Banchette;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A607;45,4608248;7,8563818;1,8772
001021;Barbania;Barbania;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A625;45,2904913;7,6304781;13,3485
001022;Bardonecchia;Bardonecchia;;10052;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A651;45,0781507;6,7038976;131,5658
001023;"Barone Canavese";"Barone Canavese";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A673;45,3277288;7,8705578;4,0162
001024;Beinasco;Beinasco;;10092;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A734;45,0220788;7,5790186;6,7594
001025;Bibiana;Bibiana;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A853;44,7975980;7,2898046;18,3984
001026;"Bobbio Pellice";"Bobbio Pellice";;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A910;44,8076971;7,1170209;94,6154
001027;Bollengo;Bollengo;;10012;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A941;45,4733455;7,9453007;14,3170
001028;"Borgaro Torinese";"Borgaro Torinese";;10071;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;A990;45,1520050;7,6578945;11,3073
001029;Borgiallo;Borgiallo;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B003;45,4167662;7,6677454;7,0905
001030;"Borgofranco d'Ivrea";"Borgofranco d'Ivrea";;10013;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B015;45,5124142;7,8594264;13,3754
001031;Borgomasino;Borgomasino;;10031;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B021;45,3616875;7,9887949;12,1472
001032;"Borgone Susa";"Borgone Susa";;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B024;45,1231172;7,2412061;4,9652
001033;Bosconero;Bosconero;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B075;45,2686534;7,7651464;11,1568
001034;Brandizzo;Brandizzo;;10032;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B121;45,1775115;7,8414393;6,2801
001035;Bricherasio;Bricherasio;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B171;44,8255744;7,3028322;22,8795
001036;Brosso;Brosso;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B205;45,4926955;7,8033171;11,0972
001037;Brozolo;Brozolo;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B209;45,1173992;8,0712843;8,9491
001038;Bruino;Bruino;;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B216;45,0202276;7,4677006;5,6323
001039;Brusasco;Brusasco;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B225;45,1560453;8,0601414;14,6925
001040;Bruzolo;Bruzolo;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B232;45,1431777;7,1939889;12,2789
001041;Buriasco;Buriasco;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B278;44,8735338;7,4118721;14,9101
001042;Burolo;Burolo;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B279;45,4840947;7,9319799;5,7138
001043;Busano;Busano;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B284;45,3288942;7,6554181;5,1975
001044;Bussoleno;Bussoleno;;10053;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B297;45,1373365;7,1493898;37,1776
001045;"Buttigliera Alta";"Buttigliera Alta";;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B305;45,0669813;7,4368254;8,2373
001046;Cafasse;Cafasse;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B350;45,2446575;7,5181803;10,4206
001047;Caluso;Caluso;;10014;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B435;45,3078184;7,8914899;39,4858
001048;Cambiano;Cambiano;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B462;44,9734653;7,7792962;13,7668
001049;"Campiglione Fenile";"Campiglione Fenile";;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B512;44,8021531;7,3250696;11,3346
001050;"Candia Canavese";"Candia Canavese";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B588;45,3281447;7,8865424;9,1827
001051;Candiolo;Candiolo;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B592;44,9603898;7,6013874;12,3892
001052;Canischio;Canischio;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B605;45,3743281;7,5951811;11,9469
001053;Cantalupa;Cantalupa;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B628;44,9402685;7,3326819;11,3322
001054;Cantoira;Cantoira;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B637;45,3432131;7,3817884;23,1041
001055;Caprie;Caprie;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B705;45,1178288;7,3325530;16,1860
001056;Caravino;Caravino;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B733;45,3986173;7,9601459;11,4749
001057;Carema;Carema;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B762;45,5844506;7,8123537;10,3290
001058;Carignano;Carignano;;10041;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B777;44,9080171;7,6760348;49,6898
001059;Carmagnola;Carmagnola;;10022;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B791;44,8464786;7,7180847;95,5765
001060;Casalborgone;Casalborgone;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B867;45,1299488;7,9405843;20,0165
001061;"Cascinette d'Ivrea";"Cascinette d'Ivrea";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B953;45,4787767;7,9038942;2,2702
001062;Caselette;Caselette;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B955;45,1058965;7,4832283;14,0689
001063;"Caselle Torinese";"Caselle Torinese";;10072;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;B960;45,1772268;7,6479830;23,8442
001064;"Castagneto Po";"Castagneto Po";;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C045;45,1606279;7,8870392;11,7953
001065;"Castagnole Piemonte";"Castagnole Piemonte";;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C048;44,8985413;7,5665658;17,3340
001066;Castellamonte;Castellamonte;;10081;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C133;45,3833442;7,7098255;38,6304
001067;"Castelnuovo Nigra";"Castelnuovo Nigra";;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C241;45,4372093;7,6952282;28,5874
001068;"Castiglione Torinese";"Castiglione Torinese";;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C307;45,1233326;7,8162459;14,4913
001069;Cavagnolo;Cavagnolo;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C369;45,1521104;8,0513851;12,3107
001070;Cavour;Cavour;;10061;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C404;44,7841236;7,3751914;48,5560
001071;Cercenasco;Cercenasco;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C487;44,8612625;7,5012234;13,3880
001072;Ceres;Ceres;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C497;45,3130672;7,3893349;27,9838
001073;"Ceresole Reale";"Ceresole Reale";;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C505;45,4325151;7,2325365;100,1492
001074;"Cesana Torinese";"Cesana Torinese";;10054;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C564;44,9524243;6,7942070;121,9823
001075;Chialamberto;Chialamberto;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C604;45,3628552;7,3458800;35,6042
001076;Chianocco;Chianocco;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C610;45,1485930;7,1695443;19,0649
001077;Chiaverano;Chiaverano;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C624;45,5003948;7,9023271;11,6067
001078;Chieri;Chieri;;10023;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C627;45,0131646;7,8210215;54,3209
001079;Chiesanuova;Chiesanuova;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C629;45,4174247;7,6568511;4,2494
001080;Chiomonte;Chiomonte;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C639;45,1196670;6,9840367;26,4322
001081;"Chiusa di San Michele";"Chiusa di San Michele";;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C655;45,1015733;7,3264647;5,6758
001082;Chivasso;Chivasso;;10034;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C665;45,1908493;7,8871226;51,1578
001083;Ciconio;Ciconio;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C679;45,3303533;7,7599853;3,2354
001084;Cintano;Cintano;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C711;45,4279710;7,6867646;4,8064
001085;Cinzano;Cinzano;;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C715;45,0938750;7,9210939;6,3889
001086;Ciriè;Ciriè;;10073;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C722;45,2317279;7,6045879;17,5374
001087;Claviere;Claviere;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C793;44,9385626;6,7493542;2,3337
001088;"Coassolo Torinese";"Coassolo Torinese";;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C801;45,3010009;7,4614939;28,0893
001089;Coazze;Coazze;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C803;45,0514171;7,2947246;56,4608
001090;Collegno;Collegno;;10093;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C860;45,0774023;7,5691576;18,0697
001091;"Colleretto Castelnuovo";"Colleretto Castelnuovo";;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C867;45,4214414;7,6789845;6,2251
001092;"Colleretto Giacosa";"Colleretto Giacosa";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C868;45,4328712;7,7999950;4,5300
001093;Condove;Condove;;10055;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;C955;45,1170113;7,3105314;71,4044
001094;Corio;Corio;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D008;45,3127335;7,5326020;41,4640
001095;"Cossano Canavese";"Cossano Canavese";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D092;45,3883116;7,9934226;2,9585
001096;Cuceglio;Cuceglio;;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D197;45,3587593;7,8148720;6,8734
001097;Cumiana;Cumiana;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D202;44,9827474;7,3741814;61,0147
001098;Cuorgnè;Cuorgnè;;10082;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D208;45,3913262;7,6486960;19,0014
001099;Druento;Druento;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D373;45,1342731;7,5762577;27,4924
001100;Exilles;Exilles;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D433;45,0974883;6,9296051;46,3823
001101;Favria;Favria;;10083;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D520;45,3328760;7,6879370;14,7939
001102;Feletto;Feletto;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D524;45,3054802;7,7471143;8,0585
001103;Fenestrelle;Fenestrelle;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D532;45,0339532;7,0517340;49,1266
001104;Fiano;Fiano;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D562;45,2181318;7,5197510;12,2714
001105;"Fiorano Canavese";"Fiorano Canavese";;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D608;45,4675874;7,8289681;4,3460
001106;Foglizzo;Foglizzo;;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D646;45,2720467;7,8231524;15,5957
001107;"Forno Canavese";"Forno Canavese";;10084;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D725;45,3467729;7,5867669;16,8224
001108;Frassinetto;Frassinetto;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D781;45,4360589;7,6057321;24,9048
001109;Front;Front;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D805;45,2794926;7,6657259;10,6945
001110;Frossasco;Frossasco;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D812;44,9334809;7,3508656;20,2066
001111;Garzigliana;Garzigliana;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D931;44,8367675;7,3747354;7,0021
001112;"Gassino Torinese";"Gassino Torinese";;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D933;45,1274618;7,8246237;19,7092
001113;Germagnano;Germagnano;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D983;45,2620584;7,4666277;14,5207
001114;Giaglione;Giaglione;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E009;45,1397024;7,0141191;33,7325
001115;Giaveno;Giaveno;;10094;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E020;45,0447344;7,3530799;72,1888
001116;Givoletto;Givoletto;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E067;45,1588163;7,4968477;13,0716
001117;Gravere;Gravere;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E154;45,1239955;7,0209034;19,1562
001118;Groscavallo;Groscavallo;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E199;45,3688981;7,2823768;92,4039
001119;Grosso;Grosso;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E203;45,2578068;7,5582660;4,0804
001120;Grugliasco;Grugliasco;;10095;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E216;45,0619938;7,5777858;13,3302
001121;Ingria;Ingria;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E301;45,4661534;7,5708119;15,1419
001122;"Inverso Pinasca";"Inverso Pinasca";;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E311;44,9471112;7,2159869;8,3362
001123;Isolabella;Isolabella;;10046;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E345;44,9066201;7,9093993;4,8204
001124;Issiglio;Issiglio;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E368;45,4468372;7,7540952;5,5578
001125;Ivrea;Ivrea;;10015;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E379;45,4662336;7,8759117;30,1764
001126;"La Cassa";"La Cassa";;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E394;45,1818170;7,5191053;11,6863
001127;"La Loggia";"La Loggia";;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E423;44,9566817;7,6676999;12,8209
001128;"Lanzo Torinese";"Lanzo Torinese";;10074;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E445;45,2722552;7,4765958;10,3254
001129;Lauriano;Lauriano;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E484;45,1584257;7,9915852;14,3505
001130;Leini;Leini;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E518;45,1839595;7,7149873;32,4340
001131;Lemie;Lemie;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E520;45,2286823;7,2927537;45,1647
001132;Lessolo;Lessolo;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E551;45,4757766;7,8140443;8,0748
001133;Levone;Levone;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E566;45,3181626;7,6059193;5,4728
001134;Locana;Locana;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E635;45,4169171;7,4617755;132,6817
001135;Lombardore;Lombardore;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E660;45,2356416;7,7362896;12,4279
001136;Lombriasco;Lombriasco;;10040;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E661;44,8416798;7,6359489;7,8184
001137;Loranzè;Loranzè;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E683;45,4413818;7,8110524;4,3933
001139;"Luserna San Giovanni";"Luserna San Giovanni";;10062;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E758;44,8144535;7,2460158;17,7257
001140;Lusernetta;Lusernetta;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E759;44,8026038;7,2497624;7,3193
001141;Lusigliè;Lusigliè;;10080;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E763;45,3185725;7,7664656;5,0745
001142;Macello;Macello;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E782;44,8511813;7,4008373;14,5331
001143;Maglione;Maglione;;10030;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E817;45,3476727;8,0117232;6,5959
001144;Marentino;Marentino;;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;E941;45,0580474;7,8733109;11,2688
001145;Massello;Massello;;10060;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F041;44,9585084;7,0570144;37,7550
001146;Mathi;Mathi;;10075;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F053;45,2567508;7,5411799;7,1887
001147;Mattie;Mattie;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F058;45,1188218;7,1120177;28,4519
001148;Mazzè;Mazzè;;10035;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F067;45,2985603;7,9368307;26,7151
001149;"Meana di Susa";"Meana di Susa";;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F074;45,1210435;7,0684893;16,0565
001150;Mercenasco;Mercenasco;;10010;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F140;45,3570306;7,8826050;12,7071
001152;Mezzenile;Mezzenile;;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F182;45,2923447;7,3949146;29,2463
001153;"Mombello di Torino";"Mombello di Torino";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F315;45,0463613;7,9195538;3,9839
001154;Mompantero;Mompantero;;10059;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F318;45,1399475;7,0580018;30,0217
001155;"Monastero di Lanzo";"Monastero di Lanzo";;10070;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F327;45,3014494;7,4391173;17,6403
001156;Moncalieri;Moncalieri;;10024;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F335;45,0009565;7,6853163;47,6714
001157;Moncenisio;Moncenisio;;10050;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;D553;45,2052427;6,9835832;4,4698
001158;"Montaldo Torinese";"Montaldo Torinese";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F407;45,0663754;7,8509022;4,6029
001159;Montalenghe;Montalenghe;;10090;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F411;45,3377012;7,8397746;6,7924
001160;"Montalto Dora";"Montalto Dora";;10016;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F420;45,4938030;7,8640930;7,2053
001161;Montanaro;Montanaro;;10017;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F422;45,2329277;7,8528765;21,0203
001162;"Monteu da Po";"Monteu da Po";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F651;45,1504808;8,0147719;7,3377
001163;"Moriondo Torinese";"Moriondo Torinese";;10020;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F733;45,0390345;7,9440562;6,6651
001164;Nichelino;Nichelino;;10042;TO;Torino;"Citta metropolitana";01;Piemonte;"statuto ordinario";Nord-ovest;NO;F889;44,9951033;7,6475753;20,8744
